nohup: 忽略输入
Starting optimized DeepMD training v3...
================================================================================
CUDA OPTIMIZATION CONFIGURATION
================================================================================
CUDA Available: True
PyTorch Version: 2.4.1
CUDA Version: 11.8
cuDNN Version: 91001
Number of GPUs: 1
cuDNN benchmark: ENABLED (faster conv/attn kernels)
TF32 tensor operations: ENABLED (safe for training)

GPU 0: NVIDIA L20-8Q
  Compute Capability: 8.9
  Total Memory: 8.36 GB

================================================================================
TRAINING CONFIGURATION (V3)
================================================================================
Training data: ['collect/O64H128']
Batch size: 4
Num workers: 4
Grad accumulation steps: 1
Total steps: 100000
pin_memory: True, persistent_workers: True, non_blocking: True
Loaded 1823 frames, 192 atoms per frame
Atom types distribution: [ 64 128]
Dataset: 1823 frames, 192 atoms per frame
DataLoader: 456 batches per epoch

Creating model...
Model parameters: 514,661
Device: cuda

================================================================================
Training for 100000 steps...
================================================================================

[Epoch 1]
Step   2700 (update=  2700) | lr=3.931e-06 | loss=2217.1841 | e_rmse=7.2144 f_rmse=1.5087 f_ema=0.8930 | 2.47 step/s | ETA: 10.9h
Step   2800 (update=  2800) | lr=3.202e-06 | loss=438.9531 | e_rmse=7.2396 f_rmse=0.6701 f_ema=0.8911 | 2.47 step/s | ETA: 10.9h
Step   2900 (update=  2900) | lr=2.608e-06 | loss=456.5082 | e_rmse=7.2195 f_rmse=0.6838 f_ema=0.8912 | 2.47 step/s | ETA: 10.9h
Step   3000 (update=  3000) | lr=2.124e-06 | loss=573.8454 | e_rmse=7.2304 f_rmse=0.7674 f_ema=0.8896 | 2.47 step/s | ETA: 10.9h
Step   3100 (update=  3100) | lr=1.730e-06 | loss=464.3560 | e_rmse=7.2206 f_rmse=0.6903 f_ema=0.8848 | 2.47 step/s | ETA: 10.9h
Step   3200 (update=  3200) | lr=1.409e-06 | loss=426.8295 | e_rmse=7.2158 f_rmse=0.6619 f_ema=0.8837 | 2.47 step/s | ETA: 10.9h
Step   3300 (update=  3300) | lr=1.148e-06 | loss=770.8833 | e_rmse=7.1774 f_rmse=0.8913 f_ema=0.8888 | 2.47 step/s | ETA: 10.9h
Step   3400 (update=  3400) | lr=9.350e-07 | loss=404.3417 | e_rmse=7.2348 f_rmse=0.6447 f_ema=0.8812 | 2.47 step/s | ETA: 10.9h
Step   3500 (update=  3500) | lr=7.616e-07 | loss=417.6898 | e_rmse=7.2122 f_rmse=0.6557 f_ema=0.8852 | 2.47 step/s | ETA: 10.9h
Step   3600 (update=  3600) | lr=6.203e-07 | loss=508.5355 | e_rmse=7.2490 f_rmse=0.7242 f_ema=0.8728 | 2.47 step/s | ETA: 10.8h

[Epoch 3]
Step   3700 (update=  3700) | lr=5.053e-07 | loss=462.2894 | e_rmse=7.2231 f_rmse=0.6906 f_ema=0.8822 | 2.47 step/s | ETA: 10.8h
Step   3800 (update=  3800) | lr=4.116e-07 | loss=417.5935 | e_rmse=7.2114 f_rmse=0.6565 f_ema=0.8813 | 2.47 step/s | ETA: 10.8h
Step   3900 (update=  3900) | lr=3.352e-07 | loss=934.5554 | e_rmse=7.2299 f_rmse=0.9845 f_ema=0.8866 | 2.47 step/s | ETA: 10.8h
Step   4000 (update=  4000) | lr=2.731e-07 | loss=443.0222 | e_rmse=7.2121 f_rmse=0.6769 f_ema=0.8627 | 2.47 step/s | ETA: 10.8h
Step   4100 (update=  4100) | lr=2.224e-07 | loss=665.5659 | e_rmse=7.2205 f_rmse=0.8311 f_ema=0.8885 | 2.47 step/s | ETA: 10.8h
Step   4200 (update=  4200) | lr=1.812e-07 | loss=426.7680 | e_rmse=7.2168 f_rmse=0.6649 f_ema=0.8977 | 2.47 step/s | ETA: 10.8h
Step   4300 (update=  4300) | lr=1.476e-07 | loss=563.4499 | e_rmse=7.1963 f_rmse=0.7651 f_ema=0.9190 | 2.47 step/s | ETA: 10.8h
Step   4400 (update=  4400) | lr=1.202e-07 | loss=976.4342 | e_rmse=7.2319 f_rmse=1.0089 f_ema=0.8865 | 2.47 step/s | ETA: 10.8h
Step   4500 (update=  4500) | lr=9.790e-08 | loss=451.6198 | e_rmse=7.2296 f_rmse=0.6851 f_ema=0.8682 | 2.47 step/s | ETA: 10.7h
Step   4600 (update=  4600) | lr=7.974e-08 | loss=762.5159 | e_rmse=7.2118 f_rmse=0.8920 f_ema=0.8952 | 2.47 step/s | ETA: 10.7h
Step   4700 (update=  4700) | lr=6.495e-08 | loss=665.8651 | e_rmse=7.2026 f_rmse=0.8337 f_ema=0.9169 | 2.47 step/s | ETA: 10.7h
Step   4800 (update=  4800) | lr=5.290e-08 | loss=449.3238 | e_rmse=7.2084 f_rmse=0.6843 f_ema=0.8983 | 2.47 step/s | ETA: 10.7h
Step   4900 (update=  4900) | lr=4.309e-08 | loss=441.3557 | e_rmse=7.2394 f_rmse=0.6785 f_ema=0.8738 | 2.47 step/s | ETA: 10.7h
Step   5000 (update=  5000) | lr=3.510e-08 | loss=754.9617 | e_rmse=7.1700 f_rmse=0.8893 f_ema=0.8874 | 2.47 step/s | ETA: 10.7h
Step   5100 (update=  5100) | lr=3.510e-08 | loss=363.0132 | e_rmse=7.2319 f_rmse=0.6153 f_ema=0.8869 | 2.47 step/s | ETA: 10.7h
Step   5200 (update=  5200) | lr=3.510e-08 | loss=555.5135 | e_rmse=7.2240 f_rmse=0.7629 f_ema=0.8693 | 2.47 step/s | ETA: 10.7h
Step   5300 (update=  5300) | lr=3.510e-08 | loss=439.8264 | e_rmse=7.2213 f_rmse=0.6786 f_ema=0.8746 | 2.47 step/s | ETA: 10.7h
Step   5400 (update=  5400) | lr=3.510e-08 | loss=684.8734 | e_rmse=7.2336 f_rmse=0.8485 f_ema=0.8813 | 2.47 step/s | ETA: 10.6h

[Epoch 4]
Step   5500 (update=  5500) | lr=3.510e-08 | loss=442.0476 | e_rmse=7.2196 f_rmse=0.6809 f_ema=0.8890 | 2.47 step/s | ETA: 10.6h
Step   5600 (update=  5600) | lr=3.510e-08 | loss=1011.7045 | e_rmse=7.2531 f_rmse=1.0332 f_ema=0.8740 | 2.47 step/s | ETA: 10.6h
Step   5700 (update=  5700) | lr=3.510e-08 | loss=470.9020 | e_rmse=7.2088 f_rmse=0.7037 f_ema=0.8830 | 2.47 step/s | ETA: 10.6h
Step   5800 (update=  5800) | lr=3.510e-08 | loss=495.0536 | e_rmse=7.1970 f_rmse=0.7220 f_ema=0.8804 | 2.47 step/s | ETA: 10.6h
