Step     37 | lr=9.915e-05 | loss=77938.5 | e_loss=776307 | f_loss=0.492851 | f_rmse=0.7020 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     38 | lr=9.913e-05 | loss=76815.8 | e_loss=764186 | f_loss=1.35853 | f_rmse=1.1656 | pref_e=0.1003 pref_f=99.97 | diff=0.000e+00
Step     39 | lr=9.911e-05 | loss=76060.3 | e_loss=755565 | f_loss=2.38716 | f_rmse=1.5450 | pref_e=0.1004 pref_f=99.97 | diff=0.000e+00
Step     40 | lr=9.908e-05 | loss=76149.9 | e_loss=756558 | f_loss=2.21842 | f_rmse=1.4894 | pref_e=0.1004 pref_f=99.97 | diff=0.000e+00
Step     41 | lr=9.906e-05 | loss=75863 | e_loss=755156 | f_loss=0.687202 | f_rmse=0.8290 | pref_e=0.1004 pref_f=99.97 | diff=0.000e+00
Step     42 | lr=9.904e-05 | loss=75810.9 | e_loss=754067 | f_loss=1.19264 | f_rmse=1.0921 | pref_e=0.1004 pref_f=99.97 | diff=0.000e+00
Step     43 | lr=9.901e-05 | loss=76000.8 | e_loss=756418 | f_loss=0.662351 | f_rmse=0.8138 | pref_e=0.1004 pref_f=99.97 | diff=0.000e+00
Step     44 | lr=9.899e-05 | loss=75627.6 | e_loss=752841 | f_loss=0.454031 | f_rmse=0.6738 | pref_e=0.1004 pref_f=99.96 | diff=0.000e+00
Step     45 | lr=9.897e-05 | loss=71409 | e_loss=706609 | f_loss=4.62113 | f_rmse=2.1497 | pref_e=0.1004 pref_f=99.96 | diff=0.000e+00
Step     46 | lr=9.895e-05 | loss=73915.7 | e_loss=735306 | f_loss=0.80764 | f_rmse=0.8987 | pref_e=0.1004 pref_f=99.96 | diff=0.000e+00
Step     47 | lr=9.892e-05 | loss=74269 | e_loss=738690 | f_loss=0.87573 | f_rmse=0.9358 | pref_e=0.1004 pref_f=99.96 | diff=0.000e+00
