lr,loss,e_loss,f_loss,pref_e,pref_f,diff,step,f_loss_rm,e_loss_rm
0.0005689,1571.51,47.7562,1.64898,0.06802,951.0,0.0,50,1.64898,47.7562
0.0005689,780.037,37.3707,0.817513,0.06802,951.0,0.0,50,1.2332465,42.56345
0.0003199,3035.07,104.046,3.35467,0.117,901.1,0.0,100,1.9403876666666668,63.057633333333335
0.0003199,1139.04,124.247,1.24793,0.117,901.1,0.0,100,1.76727325,78.354975
0.0001799,3492.51,499.153,4.00593,0.166,851.1,0.0,150,2.2150046,162.51458
0.0001799,468.126,175.88,0.515687,0.166,851.1,0.0,150,1.988346,188.13934
0.0001012,743.328,3.26991,0.926892,0.215,801.2,0.0,200,2.0102218,181.319182
0.0001012,2080.31,1.36273,2.59614,0.215,801.2,0.0,200,1.8585158,160.782528
5.689e-05,586.905,4.15255,0.77978,0.264,751.2,0.0,250,1.7648858,136.763638
3.199e-05,352.865,124.314,0.447672,0.313,701.3,0.0,300,1.0532342000000001,61.795838
1.799e-05,396.701,2.83264,0.60747,0.362,651.3,0.0,350,1.0715908,27.186366
1.012e-05,351.602,8.46652,0.578854,0.411,601.4,0.0,400,1.0019832000000002,28.225687999999998
5.689e-06,2905.08,364.096,4.96435,0.46,551.4,0.0,450,1.4756252,100.77234200000001
3.199e-06,2928.1,287.675,5.54671,0.509,501.5,0.0,500,2.4290112,157.476832
1.799e-06,681.941,12.4706,1.49481,0.558,451.5,0.0,550,2.6384388,135.10815200000002
