lr,loss,e_loss,f_loss,pref_e,pref_f,diff,step,f_loss_rm,e_loss_rm
0.001,2894.11,5947.889,2.775152,0.02,1000.0,0.0,50,2.775152,5947.889
0.001,695.4088,919.029,0.6770282,0.02,1000.0,0.0,100,1.7260901,3433.459
0.001,427.1488,0.5497556,0.4271379,0.02,1000.0,0.0,150,1.2931060333333333,2289.155918533333
0.001,1260.364,5.775655,1.260248,0.02,1000.0,0.0,200,1.284891525,1718.31085265
0.001,1839.295,2.160814,1.839252,0.02,1000.0,0.0,250,1.3957636199999999,1375.08084492
5.656e-06,2887.56,331.063,4.96435,0.4605,550.9,0.0,900,1.8336032199999999,251.71564492
4.241e-06,645.408,2.05064,1.22518,0.485,526.0,0.0,950,1.94323358,68.31997292
3.181e-06,324.596,2.03808,0.645824,0.5095,501.0,0.0,1000,1.9869708,68.6176378
2.385e-06,1458.87,72.0768,2.98383,0.534,476.0,0.0,1050,2.3316872,81.8778668
