lr,loss,e_loss,f_loss,pref_e,pref_f,diff,step,f_loss_rm,e_loss_rm
0.0007499,733.762,31.2225,0.751132,0.0445,975.0,0.0,50,0.751132,31.2225
0.0007499,3953.11,1061.23,4.00593,0.0445,975.0,0.0,50,2.378531,546.22625
0.0005623,607.492,37.3513,0.636719,0.069,950.0,0.0,100,1.7979270000000003,376.60126666666673
0.0005623,688.898,333.018,0.700932,0.069,950.0,0.0,100,1.5236782500000001,365.70545000000004
0.0004217,345.82,72.6917,0.366482,0.0935,925.1,0.0,150,1.292239,307.1027
0.0004217,587.925,68.6165,0.628608,0.0935,925.1,0.0,150,1.2677342,314.5815
0.0003162,1213.17,203.337,1.32116,0.118,900.1,0.0,200,0.7307802,143.0029
0.0003162,650.448,77.1597,0.712525,0.118,900.1,0.0,200,0.7459414,150.96457999999998
0.0002371,1621.36,349.346,1.79584,0.1425,875.1,0.0,250,0.964923,154.23018
0.0001778,529.79,228.633,0.578261,0.167,850.1,0.0,300,1.0072788000000001,185.41844
0.0001334,517.497,0.820515,0.626945,0.1915,825.2,0.0,350,1.0069461999999998,171.859243
0.0001,507.34,0.56067,0.633865,0.216,800.2,0.0,400,0.8694872,131.303977
